URL,ImproperDate,Date,River,District,State,lat,long
https://sandwatch.envmonitoring.in/published-page/caseReports?id=693fe3834fe9098cae5001da,"Tapi river - Surat, Gujarat - 13th December 2025",13 Dec 2025,Tapi,Surat,Gujarat,21.273833,73.504573
https://sandwatch.envmonitoring.in/published-page/caseReports?id=69243221c1321690e89ed23f,"Ken River - Banda, Uttar Pradesh, 15th November 2025",15 Nov 2025,Ken,Banda,Uttar Pradesh,25.746567,80.453335
https://sandwatch.envmonitoring.in/published-page/caseReports?id=690f36b292f6285121a228d8,"Tamas River - Rewa, Madhya Pradesh - 25 Oct 2025",25 Oct 2025,Tamas (Tamsa),Rewa,Madhya Pradesh,24.956509,81.48905
https://sandwatch.envmonitoring.in/published-page/caseReports?id=68d77dc83e6c1068c9836665,"Sunhera Bridge, Panna District, MP - Ken River - 14th June 2024",14 Jun 2025,Ken,Panna,Madhya Pradesh,25.0073521,80.2360685
https://sandwatch.envmonitoring.in/published-page/caseReports?id=685e793c7a9c1c000b30acd0,"River Tamas - Rewa, Madhya Pradesh - 2nd June 2025",2 Jun 2025,Tamas (Tamsa),Rewa,Madhya Pradesh,24.94908,81.506613
https://sandwatch.envmonitoring.in/published-page/caseReports?id=68a96ef07413d2000c11ab9f,"River Chambal - Morena, 1st June 2025",1 Jun 2025,Chambal,Morena,Madhya Pradesh,26.658876,77.908561
https://sandwatch.envmonitoring.in/published-page/caseReports?id=682d80714c8d83000b2e4e43,"River Ken - Sandi, Banda, Uttar Pradesh - 15th May 2025",15 May 2025,Ken,Banda,Uttar Pradesh,25.703884,80.315708
https://sandwatch.envmonitoring.in/published-page/caseReports?id=68230ee0892407000bc8264d,"Ken River - Banda, Uttar Pradesh - 21st March 2025",21 Mar 2025,Ken,Banda,Uttar Pradesh,25.490301,80.309159
https://sandwatch.envmonitoring.in/published-page/caseReports?id=67d9102e492bd6000b4a5b2e,"Yamuna River - Dakpatthar, Himachal Pradesh - 17th March 2025",17 Mar 2025,Yamuna,Sirmaur,Himachal Pradesh,30.503505,77.784876
https://sandwatch.envmonitoring.in/published-page/caseReports?id=6901fe3f59d94d4abb2656d0,"Ganga River - Katihar, Bihar - February 19, 2025",19 Feb 2025,Ganga,Katihar,Bihar,25.394092,87.558856
